fecha,mp25_ugm3,mp10_ugm3,so2_ppb,cov_ppb,temperatura_c,humedad_pct
2026-08-01 00:02:54,41,43,,,8.305,73.793
2026-08-01 00:07:54,34,36,,,8.294,73.685
2026-08-01 00:12:54,36,36,,,8.359,73.723
2026-08-01 00:17:54,40,48,,,8.42,73.425
2026-08-01 00:22:54,42,47,,,8.545,72.611
2026-08-01 00:27:54,48,55,,,8.618,71.884
2026-08-01 00:32:54,44,50,,,8.652,72.044
2026-08-01 00:37:54,47,54,,,8.663,70.963
2026-08-01 00:42:54,55,66,,,8.655,71.234
2026-08-01 00:47:54,51,59,,,8.61,71.369
2026-08-01 00:52:54,52,61,,,8.593,71.132
2026-08-01 00:57:54,45,56,,,8.572,70.186
2026-08-01 01:02:54,51,60,,,8.465,70.553
