codigo,fecha,variable,valor
HIRIPRO-V6,2026-09-21 23:02:42,so2,0
HIRIPRO-V6,2026-09-21 23:02:42,cov,0
HIRIPRO-V6,2026-09-21 23:02:42,mp10,0
HIRIPRO-V6,2026-09-21 23:02:42,mp25,0
HIRIPRO-V6,2026-09-21 23:02:42,hum,69.067
HIRIPRO-V6,2026-09-21 23:02:42,temp,14.618
HIRIPRO-V10,2026-09-21 23:06:25,so2,0
HIRIPRO-V10,2026-09-21 23:06:25,cov,758
HIRIPRO-V10,2026-09-21 23:06:25,mp10,0
HIRIPRO-V10,2026-09-21 23:06:25,mp25,0
HIRIPRO-V10,2026-09-21 23:06:25,hum,56.69
HIRIPRO-V10,2026-09-21 23:06:25,temp,15.451
HIRIPRO-V12,2026-08-27 23:42:28,mp10,1
HIRIPRO-V12,2026-08-27 23:42:28,mp25,1
HIRIPRO-V12,2026-08-27 23:42:28,hum,73.421
HIRIPRO-V12,2026-08-27 23:42:28,temp,11.536
HIRIPRO-V4,2026-09-21 23:02:48,so2,0
HIRIPRO-V4,2026-09-21 23:02:48,cov,0
HIRIPRO-V4,2026-09-21 23:02:48,mp10,0
HIRIPRO-V4,2026-09-21 23:02:48,mp25,0
HIRIPRO-V4,2026-09-21 23:02:48,hum,64.798
HIRIPRO-V4,2026-09-21 23:02:48,temp,13.146
HIRIPRO-V2,2026-09-21 23:02:41,so2,0
HIRIPRO-V2,2026-09-21 23:02:41,cov,0
HIRIPRO-V2,2026-09-21 23:02:41,mp10,5
HIRIPRO-V2,2026-09-21 23:02:41,mp25,5
HIRIPRO-V2,2026-09-21 23:02:41,hum,54.479
HIRIPRO-V2,2026-09-21 23:02:41,temp,16.201
HIRIPRO-V1,2026-09-21 13:49:13,so2,0
HIRIPRO-V1,2026-09-21 13:49:13,cov,0
HIRIPRO-V1,2026-09-21 13:49:13,mp10,3
HIRIPRO-V1,2026-09-21 13:49:13,mp25,2
HIRIPRO-V1,2026-09-21 13:49:13,hum,45.623
HIRIPRO-V1,2026-09-21 13:49:13,temp,24.506
HIRIPRO-V9,2026-09-21 23:04:09,so2,0
HIRIPRO-V9,2026-09-21 23:04:09,cov,8233
HIRIPRO-V9,2026-09-21 23:04:09,mp10,3
HIRIPRO-V9,2026-09-21 23:04:09,mp25,3
HIRIPRO-V9,2026-09-21 23:04:09,hum,74.579
HIRIPRO-V9,2026-09-21 23:04:09,temp,13.088
HIRIPRO-V3,2026-08-21 19:04:38,so2,0
HIRIPRO-V3,2026-08-21 19:04:38,cov,0
HIRIPRO-V3,2026-08-21 19:04:38,mp10,6
HIRIPRO-V3,2026-08-21 19:04:38,mp25,5
HIRIPRO-V3,2026-08-21 19:04:38,hum,26.826
HIRIPRO-V3,2026-08-21 19:04:38,temp,24.765
HIRIPRO-V11,2026-08-27 23:41:04,mp10,0
HIRIPRO-V11,2026-08-27 23:41:04,mp25,0
HIRIPRO-V11,2026-08-27 23:41:04,hum,64.487
HIRIPRO-V11,2026-08-27 23:41:04,temp,13.149
HIRIPRO-V8,2026-09-21 23:06:22,so2,0
HIRIPRO-V8,2026-09-21 23:06:22,cov,0
HIRIPRO-V8,2026-09-21 23:06:22,mp10,0
HIRIPRO-V8,2026-09-21 23:06:22,mp25,0
HIRIPRO-V8,2026-09-21 23:06:22,hum,64.42
HIRIPRO-V8,2026-09-21 23:06:22,temp,15.173
